Ranking,Link,Product Name,Manufacturer,Country of Origin,Item Weight,Price,Number of Customer Ratings,Number of Reviews,Average Rating (out of 5)
65,https://www.bigbasket.com/pd/40000600/colgate-kids-barbie-toothbrush-extra-soft-with-tongue-cleaner-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Barbie Toothbrush - Extra Soft With Tongue Cleaner, 1 pc  ",Colgate,Origin not found,1 pc,Rs 71,80,,3.9
66,https://www.bigbasket.com/pd/40097855/colgate-kids-electric-toothbrush-barbie-battery-powered-extra-soft-bristles-age-3-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Electric Toothbrush -Barbie, Battery Powered - Extra Soft Bristles (Age 3+), 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 479.20,14,1,3.7
67,https://www.bigbasket.com/pd/40076903/kp-namboodiris-herbal-tooth-paste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,Product name not found,Manufacturer not found,Origin not found,Item weight not found,Price not found,14,1,Average rating not found
68,https://www.bigbasket.com/pd/267816/neem-toothpaste-complete-care-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Neem  Toothpaste - Complete Care, 200 g  ",Neem ,Origin not found,200 g,Rs 60.30,1876,109,4.3
69,https://www.bigbasket.com/pd/318865/sensodyne-fresh-gel-sensitive-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste - Fresh Gel, Sensitive For Daily Sensitivity Protection, 150 g  ",Sensodyne,India,150 g,Rs 189,1051,21,4.3
70,https://www.bigbasket.com/pd/40113641/dabur-meswak-indias-no-1-fluoride-free-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Meswak India's No-1 Fluoride Free Toothpaste, 200 g (Pack of 2) ",Dabur Meswak,Origin not found,Item weight not found,Rs 133.70,2117,68,4.3
71,https://www.bigbasket.com/pd/40113617/colgate-toothpaste-swarna-vedshakti-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Vedshakti Ayurvedic Toothpaste - With Neem, Clove, Amla, Tulsi & Honey, 100 g  ",Colgate,Origin not found,100 g,Rs 57,1102,32,4.3
72,https://www.bigbasket.com/pd/40186854/colgate-charcoal-clean-black-gel-toothpaste-bamboo-charcoal-mint-saver-pack-240-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Charcoal Clean Black Gel Toothpaste - Bamboo Charcoal & Mint, Saver Pack, 240 g  ",Colgate,Origin not found,240 g,Rs 176,2668,78,4.2
73,https://www.bigbasket.com/pd/40000381/himalaya-active-fresh-gel-toothpaste-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Himalaya Active Fresh Gel Toothpaste, 80 g  ",Himalaya,Origin not found,Item weight not found,Rs 45,1137,54,4.3
74,https://www.bigbasket.com/pd/20005343/sensodyne-repair-protect-sensitive-toothpaste-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste - Repair & Protect, For Deep Repair Of Sensitive Teeth, 70 g  ",Sensodyne,India,70 g,Rs 166,2591,99,4.3
75,https://www.bigbasket.com/pd/40007303/himalaya-sparkling-white-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Himalaya Sparkling White Toothpaste, 150 g  ",Himalaya,Origin not found,150 g,Rs 77,1024,17,4.2
76,https://www.bigbasket.com/pd/266852/pepsodent-toothpaste-expert-protection-gum-care-140-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothpaste - Expert Protection Gum Care, 140 g  ",Pepsodent,India,140 g,Rs 72.80,1601,43,4.3
